449,एस.सी.बी.,08/2000,गोल्फ प्रतियोगिता के सम्बन्ध में,2000
450,एस.सी.बी.,50/96,अखिल भारतीय पुलिस गोल्फ प्रतियोगिता,1996
451,एस.सी.बी.,-,रिजल्ट ऑफ अखिल भारतीय पुलिस एक्वेटिक/क्रॉसकन्ट्री प्रतियोगिता 1985-1994,-
452,एस.सी.बी.,49/82,नॉर्थ जोन टूर्नामेन्ट ,1982
453,एस.सी.बी.,86/96,एस.आई एम. राधेश्याम शुक्ला व ASIM अरूण कुमार वर्मा के मध्य वाद विवाद की जॉच,1996
454,एस.सी.बी.,-,5वीं अखिल भारतीय पुलिस गोल्फ प्रतियोगिता,2001
455,एस.सी.बी.,19/86,अखिल भारतीय पुलिस तैराकी एवं क्रॉसकन्ट्री प्रति.,1986
456,एस.सी.बी.,43/2003,52वीं अखिल भारतीय पुलिस हॉकी प्रतियोगिता,2003
457,एस.सी.बी.,48/2003,47वीं अखिल भारतीय पुलिस शूटिंग प्रति.,2003
458,एस.सी.बी.,68/2002,46वीं अखिल भारतीय पुलिस शूटिंग प्रति.,2002
459,एस.सी.बी.,42/2006,"55वीं अखिल भारतीय पुलिस बॉलाबॉल,बास्केटबॉल, कब़ड्डी प्रतियोगिता",2006
460,एस.सी.बी.,45/2002,51वीं अखिल भारतीय पुलिस फुटबॉल प्रति.,2002
461,एस.सी.बी.,48/2002,51वीं अखिल भारतीय पुलिस तैराकी एवं क्रासकन्ट्री प्रति.,2002
462,एस.सी.बी.,55/2001,50वीं अखिल भारतीय पुलिस तैराकी एवं क्रासकन्ट्री प्रतियोगिता,2001
463,एस.सी.बी.,47/2002,51वीं अखिल भारतीय पुलिस हॉकी प्रति.,2002
464,एस.सी.बी.,18/2003,47वीं उ.प्र. पुलिस ड्यूटीमीट प्रति.,2003
465,एस.सी.बी.,85/96,अखिल भारतीय पुलिस फुटबॉल प्रतियोगिता,1996
466,एस.सी.बी.,23/2000,"अन्तरजोनल / अखिल भआरतीय खेलों में पदक प्राप्त करने वाले खिलाडियों को प्रमाण पत्र(पार्ट-1,2)",2000
467,एस.सी.बी.,-,5वीं अखिल भारतीय पुलिस गोल्फ प्रतियोगिता में भाग लेने वाले खिलाडियों की सूचना,-
468,एस.सी.बी.,92/98,47वीं अखिल भारतीय पुलिस तैराकी एवं क्रासकन्ट्री प्रतियोगिता,1998
469,एस.सी.बी.,46/96,45वीं अखिल भारतीय पुलिस तैराकी एवं क्रासकन्ट्री प्रतियोगिता,1996
470,एस.सी.बी.,24/2000,44वीं अखिल भारतीय पुलिस ड्यूटीमीट प्रतियोगिता,2000
471,एस.सी.बी.,43/97,46वीं अखिल भारतीय पुलिस तैराकी एवं क्रासकन्ट्री प्रतियोगिता,1997
472,एस.सी.बी.,34/98,गोल्फ प्रतियोगिता के सम्बन्ध में,1998
473,एस.सी.बी.,49/99,48वीं अखिल भारतीय पुलिस तैराकी एवं क्रासकन्ट्री प्रतियोगिता,1999
474,एस.सी.बी.,48/99,48वीं अखिल भारतीय पुलिस एथलेटिक प्रतियोगिता,1999
475,एस.सी.बी.,86/97,"46वीं अखिल भारतीय पुलिस कुश्ती, जूडो,जिमनास्टिक एवं भारोत्तोलन प्रतियोगिता",1997
476,एस.सी.बी.,51/95,"44वीं अ.भा.पु. तैराकी,वाटरपोलो, एवं क्रासकन्ट्री पूना ",1995
477,एस.सी.बी.,24/97,"46वीं अखिल भारतीय पुलिस वालीबाल, बास्केटबाल हैन्डबाल एवं कबड्डी प्रतियोगिता ",1997
478,एस.सी.बी.,42/04,"53वीं अखिल भारतीय पुलिस वालीबाल, बास्केटबाल हैन्डबाल एवं कबड्डी प्रतियोगिता ",2004
479,एस.सी.बी.,46/2002,"51वीं अखिल भारतीय पुलिस वालीबाल, बास्केटबाल हैन्डबाल एवं कबड्डी प्रतियोगिता ",2002
480,एस.सी.बी.,45/06,"55वीं अखिल भारतीय पुलिस कुश्ती, जूडो,जिमनास्टिक एवं भारोत्तोलन प्रतियोगिता",2006
481,एस.सी.बी.,63/91,40वीं अखिल भारतीय पुलिस तैराकी एवं क्रासकन्ट्री प्रतियोगिता,1991
482,एस.सी.बी.,54/95,अखिल भारतीय पुलिस फुटबॉल प्रतियोगिता,1995
483,एस.सी.बी.,70/96,40वीं अखिल भरतीय पुलिस ड्यूटीमीट प्रतियोगिता,1996
484,एस.सी.बी.,64/99,31वीं अखिलभारतीय पुलिस साइन्स कॉग्रेस,1999
485,एस.सी.बी.,31/98,3वीं अखिल भारतीय पुलिस गोल्फ प्रतियोगिता,1998
486,एस.सी.बी.,3/95,44वीं अखिल भारतीय पुलिस जूडो क्लस्टर प्रतियोगिता,1995
487,एस.सी.बी.,36/95,अखिल भारतीय पुलिस घुडसवारी प्रतियोगिता,1995
488,एस.सी.बी.,51/99,4वीं अखिल भारतीय पुलिस गोल्फ प्रतियोगिता,1999
489,एस.सी.बी.,2/95,2वीं अखिल भारतीय इन्टर स्पेशल यूनिट कम्पटीशन एवं कमाण्डो सेमीनार से सम्बन्धित,1995
490,एस.सी.बी.,12/95,44वीं अखिल भारतीय पुलिस वालीबॉल क्लस्टर प्रतियोगिता,1995
491,एस.सी.बी.,26/97,AIPDM बैण्ड प्रतियोगिता,1997
492,एस.सी.बी.,80/94,14वीं अखिल भारतीय पुलिस घुडसवारी प्रतियोगिता,1994
493,एस.सी.बी.,60/2000,49वीं अखिल भारतीय पुलिस तैराकी एवं क्रॉसकन्ट्री प्रतियोगिता,2000
494,एस.सी.बी.,-,प्रदेश पुलिस की विभिन्न टीमों का खेल स्तर ऊँचा करने हेतु सुझाव,-
495,एस.सी.बी.,57/97,प्रदेश पुलिस की विभिन्न टीमों का खेल स्तर ऊँचा करने हेतु स्थाई व्यवस्थायें,1997
496,एस.सी.बी.,48/97,प्रदेश पुलिस की विभिन्न टीमों का खेल स्तर ऊँचा करने हेतु खेल विंग की स्थापना,1997
497,एस.सी.बी.,89/2001,50वीं अखिल भारतीय पुलिस एथलेटिक्स प्रतियोगिता,2001
498,एस.सी.बी.,15/97,46वीं अखिल भारतीय पुलिस फुटबॉल प्रतियोगिता,1997
499,एस.सी.बी.,50/2002,51वीं अखिल भारतीय पुलिस एथलेटिक्स प्रतियोगिता,2002
500,एस.सी.बी.,49/2002,51वीं अखिल भारतीय पुलिस जूडो क्लस्टर प्रतियोगिता,2002
501,एस.सी.बी.,42/2003,"52वीं अखिल भारतीय पुलिस वालीबॉल,बास्केटबाल प्रतियोगिता",2003
502,एस.सी.बी.,45/2003,52वीं अखिल भारतीय पुलिस जूडो क्लस्टर प्रतियोगिता,2003
503,एस.सी.बी.,102/83,33वीं अखिल भआरतीय पुलिस गेम्स,1983
504,एस.सी.बी.,62/84,उ.प्र. पुलिस फुटबाल टीम गहन प्रशिक्षण,1984
505,एस.सी.बी.,-,4वीं उ.प्र. पुलिस वार्षिक क्रिकेट प्रतियोगिता,2002
506,एस.सी.बी.,25/97,अखिल भारतीय पुलिस गोल्फ प्रतियोगिता,1997
507,एस.सी.बी.,69/97,17 अखिल भारतीय पुलिस घुडसवारी प्रतियोगिता,1997
508,एस.सी.बी.,46/89,उ.प्र. पुलिस जूडो टीम का गहन प्रशिक्षण,1989
509,एस.सी.बी.,83/93,43वीं अखिल भारतीय पुलिस खेलकूद प्रतियोगिता,1993
510,एस.सी.बी.,10/2002,अखिल भारतीय पुलिस ड्यूटीमीट प्रतियोगिता,2002
511,एस.सी.बी.,76/2001,45वीं अखिल भारतीय पुलिस शूटिंग प्रतियोगिता,2001
512,एस.सी.बी.,79/94,दलनायक इनायतुल्ला खाँ प्रशिक्षक हॉकी टीम की जाँच,1994
513,एस.सी.बी.,79/1999,अखिल भारतीय पुलिस ड्यूटीमीट,1999
514,एस.सी.बी.,-,5वीं अखिल भारतीय पुलिस गोल्फ,-
515,एस.सी.बी.,-,43वीं AIPDM के दौरान आँकिक द्वारा दी गई धनराशि की सूचना,1999
516,एस.सी.बी.,-,57वीं अखिल भारतीय पुलिस एथलेटिक्स चैम्पियनशिप ,2008
517,एस.सी.बी.,27/96,"45वीं अखिल भारतीय पुलिस वालीवॉल, बास्केटबॉल, कबड्डी प्रतियोगिता",1996
518,एस.सी.बी.,60/96,अखिल भारतीय पुलिस  घुडसवारी प्रतियोगिता,1996
519,एस.सी.बी.,-,6वीं उ.प्र. पुलिस ओपेन गोल्फ प्रतियोगिता,2002
520,एस.सी.बी.,60/96,अखिल भारतीय पुलिस घुडसवारी प्रतियोगिता,1996
521,एस.सी.बी.,52/99,19वीं अखिल भारतीय पुलिस घुडसवारी प्रतियोगिता,1999
522,एस.सी.बी.,97/97,टोनिस प्रतियोगिता के सम्बन्ध में,1997
523,एस.सी.बी.,35/98,लॉन टेनिस प्रतियोगिता,1998
524,एस.सी.बी.,65/2001,उ.प्र. पुलिस की वार्षिक गोष्ठी,2001
525,एस.सी.बी.,18/2002,वर्ष 2002 की कार्यकारिणी समिति की गोष्ठी,2002
