2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k
"Ø0
la0",[ksy fo/kk,"ih,uvks",in o uke,izfr;ksfxrk dk uke,LFkku,fnukad,"o""kZ",Li/kkZ,Iknd
1,cSMfeUVu,&,m-fu- jktu ;kno,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,vksiu flaxYl iq:’k ,Lo.kZ
1,cSMfeUVu,&,m-fu- jktu ;kno,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,vksiu McYl iq:’k,dkaL;
1,cSMfeUVu,&,m-fu- jktu ;kno,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,vksiu feDl McYl,Lo.kZ
2,cSMfeUVu,&,m-fu- fleju pkS/kjh,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,efgyk vksiu flaxYl,Lo.kZ
2,cSMfeUVu,&,m-fu- fleju pkS/kjh,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,vksiu feDl McYl,Lo.kZ
2,cSMfeUVu,&,m-fu- fleju pkS/kjh,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,efgyk vksiu McYl,dkaL;
3,cSMfeUVu,&,e-eq-vkj{kh fjpk ;kno,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,vksiu flaxYl,dkaL; 
3,cSMfeUVu,&,e-eq-vkj{kh fjpk ;kno,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,efgyk vksiu McYl,dkaL;
2025 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2025 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2025 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2025 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2025 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2025 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2025 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2025 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2025 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2025 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k
"Ø0
la0",[ksy fo/kk,"ih,uvks",in o uke,izfr;ksfxrk dk uke,LFkku,fnukad,"o""kZ",Li/kkZ,Iknd
1,Vscy Vsful,&,"Jherh pk: fuxe ¼vkbZih,l½",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu flaxy efgyk oxZ,dkaL;
1,Vscy Vsful,&,"Jherh pk: fuxe ¼vkbZih,l½",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu feDl McYl,dkaL;
2,Vscy Vsful,&,Dysp Jh izse dqekj Fkkik,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu feDl McYl,dkaL;
3,Vscy Vsful,&,nyuk;d jkgqy pkS/kjh,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,"iq:""k Vhe pSfEi;uf'ki",Lo.kZ
3,Vscy Vsful,&,nyuk;d jkgqy pkS/kjh,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu McYl,Lo.kZ
3,Vscy Vsful,&,nyuk;d jkgqy pkS/kjh,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu flaxy,dkaL;
4,Vscy Vsful,&,m-fu- vjfoUn pkS/kjh,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,"iq:""k Vhe pSfEi;uf'ki",Lo.kZ
4,Vscy Vsful,&,m-fu- vjfoUn pkS/kjh,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu McYl,Lo.kZ
4,Vscy Vsful,&,m-fu- vjfoUn pkS/kjh,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu feDl McYl,jtr
5,Vscy Vsful,&,m-fu- xquxqu lkgw,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu feDl McYl,jtr
5,Vscy Vsful,&,m-fu- xquxqu lkgw,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,Vhe pSfEi;uf'ki efgyk,Lo.kZ
5,Vscy Vsful,&,m-fu- xquxqu lkgw,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu McYl,Lo.kZ
5,Vscy Vsful,&,m-fu- xquxqu lkgw,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu flaxy,jtr
