vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,
"Ø0
la0",f[kykMh dk izdkj,[ksy fo/kk dk uke,"ih,uvks","ih,uvks",in o uke,izfr;ksfxrk dk uke,LFkku,fnukad,"o""kZ",vk;kstu LFky,dc ls ,dc rd,"o""kZ",Li/kkZ,esMy,fooj.k
173,dq-f[k-,ckfDlax,e- vj{kh,,fjadh 'kekZ,REC ckfDlax us'kuy vksiu VsysUV g.V ckfDalx izfr;ksfxrk,,,,xqokgVh] vle,14-09-2024,24-09-2024,2024,66,Lo.kZ,
174,dq-f[k-,rkbDok.Mksa,e- vj{kh,,iwtk ,5osa mRrjk[k.M LVsV xsEl esa ,,,,mRrjk[k.M,20-09-2024,28-09-2024,2024,,Lo.kZ,
175,dq-f[k-,ckfDlax,e- vj{kh,,vkLFkk igok,REC Combined National Boxing Championship,,,,jksgrd,06-10-2024,13-10-2024,2024,,dkaL;,
176,dq-f[k-,ckfDlax,e- vj{kh,,fjadh 'kekZ,REC Combined National Boxing Championship,,,,jksgrd,06-10-2024,13-10-2024,2024,,dkaL;,
177,lkeU;,vkpZjh,eq-vk-,,t;nhi dq'kokgk,11oha m-iz- lhfu;j LVsV rhjankth pSfEi;uf'ki 2024,,,,xkft;kckn,13-10-2024,15-10-2024,2024,30ehVj,Lo.kZ,bf.M;u jkm.M
178,lkeU;,vkpZjh,eq-vk-,,t;nhi dq'kokgk,11oha m-iz- lhfu;j LVsV rhjankth pSfEi;uf'ki 2024,,,,xkft;kckn,13-10-2024,15-10-2024,2024,50ehVj,Lo.kZ,bf.M;u jkm.M
179,lkeU;,vkpZjh,eq-vk-,,t;nhi dq'kokgk,11oha m-iz- lhfu;j LVsV rhjankth pSfEi;uf'ki 2024,,,,xkft;kckn,13-10-2024,15-10-2024,2024,vksoj vkWy ¼50$30½,Lo.kZ,bf.M;u jkm.M
180,dq-f[k-,vkpZjh,e- vj{kh,,nhfidk ik.Ms;,11oha m-iz- lhfu;j LVsV rhjankth pSfEi;uf'ki 2024,,,,xkft;kckn,13-10-2024,15-10-2024,2024,vksoj vkWy ¼50$30½,Lo.kZ,bf.M;u jkm.M
181,dq-f[k-@lk-,vkpZjh,,,t;nhi dq'kokgk] nhfidk ik.Ms;,11oha m-iz- lhfu;j LVsV rhjankth pSfEi;uf'ki 2024,,,,xkft;kckn,13-10-2024,15-10-2024,2024,feDl McYl,Lo.kZ,bf.M;u jkm.M
182,dq-f[k-@lk-,vkpZjh,,,t;nhi dq'kokgk] jkgqy ef.k f=ikBh] vfer dqekj flag] oklw lSuh,11oha m-iz- lhfu;j LVsV rhjankth pSfEi;uf'ki 2024,,,,xkft;kckn,13-10-2024,15-10-2024,2024,"Vhe bosUV iq:""k",Lo.kZ,bf.M;u jkm.M
183,dq-f[k-@lk-,vkpZjh,,,izhrh pkS/kjh] Hkwfe dqekjh] nhfidk ik.Ms;] dkty vary,11oha m-iz- lhfu;j LVsV rhjankth pSfEi;uf'ki 2024,,,,xkft;kckn,13-10-2024,15-10-2024,2024,Vhe bosUV efgyk,jtr,bf.M;u jkm.M
184,dq-f[k-,vkpZjh,vkj{kh,,lkSjHk ekS;kZ,11oha m-iz- lhfu;j LVsV rhjankth pSfEi;uf'ki 2024,,,,xkft;kckn,13-10-2024,15-10-2024,2024,O;fDrxr Li/kkZ,Lo.kZ,bf.M;u jkm.M
185,lkeU;,vkpZjh,eq-vk-,,t;nhi dq'kokgk,11oha m-iz- lhfu;j LVsV rhjankth pSfEi;uf'ki 2024,,,,xkft;kckn,13-10-2024,15-10-2024,2024,O;fDrxr Li/kkZ,jtr,bf.M;u jkm.M
186,dq-f[k-,vkpZjh,vkj{kh,,lkSjHk ekS;kZ,11oha m-iz- lhfu;j LVsV rhjankth pSfEi;uf'ki 2024,,,,xkft;kckn,13-10-2024,15-10-2024,2024,50 ehVj,dkaL;,bf.M;u jkm.M
187,dq-f[k-,vkpZjh,e- vj{kh,,nhfidk ik.Ms;,11oha m-iz- lhfu;j LVsV rhjankth pSfEi;uf'ki 2024,,,,xkft;kckn,13-10-2024,15-10-2024,2024,50 ehVj,Lo.kZ,bf.M;u jkm.M
188,dq-f[k-,vkpZjh,vkj{kh,,izsfjr oSnoku,11oha m-iz- lhfu;j LVsV rhjankth pSfEi;uf'ki 2024,,,,xkft;kckn,13-10-2024,15-10-2024,2024,50 ehVj,jtr,fjdoZ jkm.M
189,dq-f[k-,vkpZjh,,,izsfjr oSnoku] thur vkjk,11oha m-iz- lhfu;j LVsV rhjankth pSfEi;uf'ki 2024,,,,xkft;kckn,13-10-2024,15-10-2024,2024,feDl McYl,dkaL;,fjdoZ jkm.M
190,dq-f[k-@lk-,vkpZjh,e- vj{kh,,vuhrk ikSMoky] f'kYih] thur vkjk] uferk oekZ,11oha m-iz- lhfu;j LVsV rhjankth pSfEi;uf'ki 2024,,,,xkft;kckn,13-10-2024,15-10-2024,2024,Vhe bosUV efgyk,Lo.kZ,fjdoZ jkm.M
191,dq-f[k-,dq'rh,e- vj{kh,,papy fljksgh,lhfu;j LVsV dq'rh pSfEi;uf'ki,,,,eFkqjk,09-11-2024,11-11-2024,2024,50fdxzk-HkkjoxZ,Lo.kZ,
192,dq-f[k-,dq'rh,e- vj{kh,,"iq""ik ;kno",lhfu;j LVsV dq'rh pSfEi;uf'ki,,,,eFkqjk,09-11-2024,11-11-2024,2024,62fdxzk-,Lo.kZ,
193,dq-f[k-,dq'rh,e- vj{kh,,nhik,lhfu;j LVsV dq'rh pSfEi;uf'ki,,,,eFkqjk,09-11-2024,11-11-2024,2024,68fdxzk-HkkjoxZ,jtr,
194,dq-f[k-,dq'rh,e- vj{kh,,"gf""kZrk flag",lhfu;j LVsV dq'rh pSfEi;uf'ki,,,,eFkqjk,09-11-2024,11-11-2024,2024,72fdxzk-,dkaL;,
195,dq-f[k-,dq'rh,e- vj{kh,,ekulh ;kno,lhfu;j LVsV dq'rh pSfEi;uf'ki,,,,eFkqjk,09-11-2024,11-11-2024,2024,55fdxzk,dkaL;,
196,dq-f[k-,dq'rh,e- vj{kh,,nh{kk rksej,lhfu;j LVsV dq'rh pSfEi;uf'ki,,,,eFkqjk,09-11-2024,11-11-2024,2024,57fdxzk,dkaL;,
197,dq-f[k-,dq'rh,e- vj{kh,,lk/kuk ;kno,lhfu;j LVsV dq'rh pSfEi;uf'ki,,,,eFkqjk,09-11-2024,11-11-2024,2024,57fdxzk,dkaL;,
198,dq-f[k-,dq'rh,vkj{kh,,fo'kky lkguh,lhfu;j LVsV dq'rh pSfEi;uf'ki,,,,eFkqjk,09-11-2024,11-11-2024,2024,61fdxzk-HkkjoxZ,Lo.kZ,
199,dq-f[k-,dq'rh,vkj{kh,,"vk;q""k dqekj",lhfu;j LVsV dq'rh pSfEi;uf'ki,,,,eFkqjk,09-11-2024,11-11-2024,2024,65fdxzk,Lo.kZ,
200,dq-f[k-,dq'rh,vkj{kh,,xksfoUn dqekj,lhfu;j LVsV dq'rh pSfEi;uf'ki,,,,eFkqjk,09-11-2024,11-11-2024,2024,86fdxzk,Lo.kZ,
201,dq-f[k-,dq'rh,vkj{kh,,"vfHk""ksd ;kno",lhfu;j LVsV dq'rh pSfEi;uf'ki,,,,eFkqjk,09-11-2024,11-11-2024,2024,77fdxzk-HkkjoxZ,Lo.kZ,
202,dq-f[k-,dq'rh,vkj{kh,,vthr ;kno,lhfu;j LVsV dq'rh pSfEi;uf'ki,,,,eFkqjk,09-11-2024,11-11-2024,2024,60fdxzk-HkkjoxZ,jtr,
203,dq-f[k-, 'kwfVax,vkj{kh,,oklw lkxoku,"0755oha bf.M;k vksiu pSfEi;uf'ki jk;Qy ,oa fiLVy",,,,Hkksiky,19-11-2024,30-11-2024,2024,50eh- Qzh fiLVy,jtr,
204,lkeU;,djkVs,e- vj{kh,,fiz;adk,"08oha jk""Vªh; vksiu QsMjs'ku pSfEi;uf'ki esa izfrHkkx gsrq",,,,okjk.klh,30-11-2024,01-12-2024,2024,50fdxzk-HkkjoxZ,jtr,izkbteuh izfr;ksfxrk
205,lkeU;,djkVs,e- vj{kh,,fj;k rksej,"08oha jk""Vªh; vksiu QsMjs'ku pSfEi;uf'ki esa izfrHkkx gsrq",,,,okjk.klh,30-11-2024,01-12-2024,2024,55fdxzk,Lo.kZ,izkbteuh izfr;ksfxrk
206,lkeU;,djkVs,vkj{kh,,"vk'kh""k rksej","08oha jk""Vªh; vksiu QsMjs'ku pSfEi;uf'ki esa izfrHkkx gsrq",,,,okjk.klh,30-11-2024,01-12-2024,2024,60fdxzk-HkkjoxZ,Lo.kZ,izkbteuh izfr;ksfxrk
207,lkeU;,djkVs,e- vj{kh,,izfrHkk,"08oha jk""Vªh; vksiu QsMjs'ku pSfEi;uf'ki esa izfrHkkx gsrq",,,,okjk.klh,30-11-2024,01-12-2024,2024,68fdxzk-HkkjoxZ,jtr,izkbteuh izfr;ksfxrk
208,lkeU;,djkVs,vkj{kh,,lqjsUnz,"08oha jk""Vªh; vksiu QsMjs'ku pSfEi;uf'ki esa izfrHkkx gsrq",,,,okjk.klh,30-11-2024,01-12-2024,2024,75fdxzk,dkaL;,izkbteuh izfr;ksfxrk
209,lkeU;,djkVs,vkj{kh,,"vfHk""ksd","08oha jk""Vªh; vksiu QsMjs'ku pSfEi;uf'ki esa izfrHkkx gsrq",,,,okjk.klh,30-11-2024,01-12-2024,2024,80fdxzk,jtr,izkbteuh izfr;ksfxrk
210,lkeU;,djkVs,vkj{kh,,y{eh'kadj,"08oha jk""Vªh; vksiu QsMjs'ku pSfEi;uf'ki esa izfrHkkx gsrq",,,,okjk.klh,30-11-2024,01-12-2024,2024,84fdxzk,jtr,izkbteuh izfr;ksfxrk
211,,dzkld.Vªh,vkj{kh,,iadt dqekj,59oha vksiu LVsV dzkld.Vªh izfr;ksfxrk,,,,y[kuÅ,22-12-2024,,2024,&,Lo.kZ,
212,,dzkld.Vªh,e- vj{kh,,eerk iky,59oha vksiu LVsV dzkld.Vªh izfr;ksfxrk,,,,y[kuÅ,22-12-2024,,2024,&,Lo.kZ,
213,,dzkld.Vªh,e- vj{kh,,uhrw dqekjh,59oha vksiu LVsV dzkld.Vªh izfr;ksfxrk,,,,y[kuÅ,22-12-2024,,2024,&,dkaL;,
214,dq-f[k-,Vscy Vsful,e- vj{kh,,xquxqu lkgw,06 fMxzh vksisu Vscy Vsful pSfEi;uf”ki,,,,xq:xzke,25-01-2025,26-01-2025,2025,,2 jtr,
215,,vkpZjh,vkj{kh,,jkt jk[ku iVsy,",uVhihlh flVh vksiu vkpZjh VwukZes.V",,,,tcyiqj e-iz-,30-03-2025,30-03-2025,2025,bf.M;u jkm.M,Lo.kZ,
216,,vkpZjh,vkj{kh,,jekdkUr ;kno,",uVhihlh flVh vksiu vkpZjh VwukZes.V",,,,tcyiqj e-iz-,30-03-2025,30-03-2025,2025,bf.M;u jkm.M,dkaL;,
217,dq-f[k-,",FkysfVDl",vkj{kh,,lfpu dqekj,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,110eh- gSMy,Lo.kZ,
218,,",FkysfVDl",vkj{kh,,nhid ;kno,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,fMLdl Fkzks,Lo.kZ,
219,,",FkysfVDl",vkj{kh,,tfru pkS/kjh,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,gSej Fkzks,Lo.kZ,
220,dq-f[k-,",FkysfVDl",vkj{kh,,"fj""kHk usgjk","vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,Hkkyk Qsd,Lo.kZ,
221,dq-f[k-,",FkysfVDl",vkj{kh,,vkdk'k xzsgoky,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,xksyk Qsad,Lo.kZ,
222,,",FkysfVDl",vkj{kh,,vHk; ukjk;.k,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,400eh- gSMy,jtr,
223,,",FkysfVDl",vkj{kh,,fo'oohj,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,400eh- gSMy,Lo.kZ,
224,,",FkysfVDl",vkj{kh,,vuqjkx iVsy,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,fMLdl Fkzks,jtr,
225,,",FkysfVDl",vkj{kh,,lkSjHk,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,10000eh-,dkaL;,
226,,",FkysfVDl",vkj{kh,,lqjthr flag,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,3000eh- LVs-ps-,dkaL;,
227,,",FkysfVDl",vkj{kh,,"vfHk""ksd flag","vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,xksyk Qsad,dkaL;,
228,dq-f[k-,",FkysfVDl",,,fjadh iky,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,100eh-,Lo.kZ,
229,,",FkysfVDl",,,f'kokuh gqM~Mk,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,1500eh-,Lo.kZ,
230,,",FkysfVDl",,,f'kYih ;kno,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,5000eh-,Lo.kZ,
231,dq-f[k-,",FkysfVDl",,,dkty pdzorhZ,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,10fdeh,Lo.kZ,
232,dq-f[k-,",FkysfVDl",,,fjfrfodk flag,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,100eh- gSMy,Lo.kZ,
233,dq-f[k-,",FkysfVDl",,,yoyh jktiwr,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,400eh- gSMy,Lo.kZ,
234,,",FkysfVDl",,,f'kokuh gqM~Mk,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,800eh-,jtr,
235,dq-f[k-,",FkysfVDl",,,eerk,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,5000eh-,jtr,
236,dq-f[k-,",FkysfVDl",,,eerk,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,10fdeh,jtr,
237,dq-f[k-,",FkysfVDl",,,yoyh jktiwr,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,100eh- gSMy,jtr,
238,,",FkysfVDl",,,ekgh iVsy,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,iksyokYV,Lo.kZ,
239,,",FkysfVDl",,,f'k[kk iokaj,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,xksyk Qsad,jtr,
240,,",FkysfVDl",,,cchrk flag,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,400eh- gSMy,dkaL;,
241,,",FkysfVDl",,,vaf'kdk ,"vksiu LVsV ,FkysfVDl izfr;ksfxrk",,,,cjsyh,10-04-2025,11-04-2025,2025,xksyk Qsad,dkaL;,
242,dq-f[k-,oq'kw,232650022,,e-vk- gqek [kku,24oha lhfu;j LVsV oq'kw izfr;ksfxrk,,,,esjB,09-05-2025,12-05-2025,2025,lkaMk,jtr,
243,dq-f[k-,oq'kw,232510517,,e-vk- f'koe,24oha lhfu;j LVsV oq'kw izfr;ksfxrk,,,,esjB,09-05-2025,12-05-2025,2025,lkaMk,jtr,
244,dq-f[k-,oq'kw,232510546,,e-vk- izsj.kk,24oha lhfu;j LVsV oq'kw izfr;ksfxrk,,,,esjB,09-05-2025,12-05-2025,2025,lkaMk,jtr,
245,dq-f[k-,oq'kw,232010075,,e-vk- Jqfr ljoS;k,24oha lhfu;j LVsV oq'kw izfr;ksfxrk,,,,esjB,09-05-2025,12-05-2025,2025,lkaMk,Lo.kZ,
246,dq-f[k-,oq'kw,232290125,,e-vk- fiz;adk,24oha lhfu;j LVsV oq'kw izfr;ksfxrk,,,,esjB,09-05-2025,12-05-2025,2025,rkvksyw,Lo.kZ,
247,dq-f[k-,oq'kw,232330252,,vk- eksfgr Fkkik,24oha lhfu;j LVsV oq'kw izfr;ksfxrk,,,,esjB,09-05-2025,12-05-2025,2025,rkvksyw,Lo.kZ,
248,dq-f[k-,oq'kw,232330236,,vk- jfo lw;Zoa'kh,24oha lhfu;j LVsV oq'kw izfr;ksfxrk,,,,esjB,09-05-2025,12-05-2025,2025,rkvksyw,Lo.kZ,
249,dq-f[k-,oq'kw,232330224,,vk- lwjt ;kno,24oha lhfu;j LVsV oq'kw izfr;ksfxrk,,,,esjB,09-05-2025,12-05-2025,2025,lkaMk,Lo.kZ,
250,dq-f[k-,oq'kw,232510676,,"vk- _""kHk ukxj",24oha lhfu;j LVsV oq'kw izfr;ksfxrk,,,,esjB,09-05-2025,12-05-2025,2025,lkaMk,Lo.kZ,
251,lkeU;,;ksxk,,,fjrq Bkdqj,06oha LVsV ;ksxklu LiksVZl pSfEi;uf'ki,,,,vkxjk,24-06-2025,26-06-2025,2025,VªsfM'kuy ;ksxk,Lo.kZ,
252,lkeU;,;ksxk,,,eksfudk 'kqDyk,06oha LVsV ;ksxklu LiksVZl pSfEi;uf'ki,,,,vkxjk,24-06-2025,26-06-2025,2025,VªsfM'kuy ;ksxk,Lo.kZ,
253,lkeU;,;ksxk,,,f'k[kk iokaj,06oha LVsV ;ksxklu LiksVZl pSfEi;uf'ki,,,,vkxjk,24-06-2025,26-06-2025,2025,VªsfM'kuy ;ksxk,jtr,
254,lkeU;,;ksxk,,, 'kxqQk rkSfgn,06oha LVsV ;ksxklu LiksVZl pSfEi;uf'ki,,,,vkxjk,24-06-2025,26-06-2025,2025,VªsfM'kuy ;ksxk,dkaL;,
255,lkeU;,;ksxk,,,"vkapy dqekjh
jktuUnuh",06oha LVsV ;ksxklu LiksVZl pSfEi;uf'ki,,,,vkxjk,24-06-2025,26-06-2025,2025,VªsfM'kuy ;ksxk,dkaL;,
256,dq-f[k-,",FkysfVDl",,,vkj{kh iadt dqekj,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2025",,,,y[kuÅ,29-07-2025,30-07-2025,2025,10000m,Lo.kZ,
257,dq-f[k-,",FkysfVDl",,,vkj{kh lfpu dqekj,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2026",,,,y[kuÅ,29-07-2026,30-07-2026,2025,110m Hurdles,Lo.kZ,
258,dq-f[k-,",FkysfVDl",,,vkj{kh fctsUnz,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2027",,,,y[kuÅ,29-07-2027,30-07-2027,2025,High Jump,Lo.kZ ,
259,dq-f[k-,",FkysfVDl",,,vkj{kh nhid ;kno,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2028",,,,y[kuÅ,29-07-2028,30-07-2028,2025,Discus Throw,Lo.kZ,
260,dq-f[k-,",FkysfVDl",,,vkj{kh vkdk”k xzsgoky,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2029",,,,y[kuÅ,29-07-2029,30-07-2029,2025,Shot Put,Lo.kZ,
261,dq-f[k-,",FkysfVDl",,,vkj{kh eksfgr rksej,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2030",,,,y[kuÅ,29-07-2030,30-07-2030,2025,Decathlon,Lo.kZ,
262,dq-f[k-,",FkysfVDl",,,e-vkj{kh fjfRodk flag,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2031",,,,y[kuÅ,29-07-2031,30-07-2031,2025,100m Hurdles,Lo.kZ ,
263,dq-f[k-,",FkysfVDl",,,e-vkj{kh yoyh jktiwr,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2032",,,,y[kuÅ,29-07-2032,30-07-2032,2025,400m Hurdles,Lo.kZ,
264,dq-f[k-,",FkysfVDl",,,e-vkj{kh ekgh iVsy,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2033",,,,y[kuÅ,29-07-2033,30-07-2033,2025,Pole Vault,Lo.kZ,
265,dq-f[k-,",FkysfVDl",,,e-vkj{kh fu/kh,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2034",,,,y[kuÅ,29-07-2034,30-07-2034,2025,Long Jump,Lo.kZ,
266,dq-f[k-,",FkysfVDl",,,e-vkj{kh [kq”kcw oekZ,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2035",,,,y[kuÅ,29-07-2035,30-07-2035,2025,Triple Jump,Lo.kZ,
267,dq-f[k-,",FkysfVDl",,,vkj{kh vk”kh’k iky,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2036",,,,y[kuÅ,29-07-2036,30-07-2036,2025,3000m sc,jtr ,
268,dq-f[k-,",FkysfVDl",,,vkj{kh nhid ;kno,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2037",,,,y[kuÅ,29-07-2037,30-07-2037,2025,Pole Vault,jtr ,
269,dq-f[k-,",FkysfVDl",,,vkj{kh fo”oohj flag,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2038",,,,y[kuÅ,29-07-2038,30-07-2038,2025,400m Hurdles,jtr ,
270,dq-f[k-,",FkysfVDl",,,vkj{kh lfpu xqtZj,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2039",,,,y[kuÅ,29-07-2039,30-07-2039,2025,Triple Jump,jtr ,
271,dq-f[k-,",FkysfVDl",,,vkj{kh vuqjkx iVsy,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2040",,,,y[kuÅ,29-07-2040,30-07-2040,2025,Discus Throw,jtr ,
272,dq-f[k-,",FkysfVDl",,,vkj{kh f”koe pkS/kjh,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2041",,,,y[kuÅ,29-07-2041,30-07-2041,2025,Shot Put,jtr ,
273,dq-f[k-,",FkysfVDl",,,e-vkj{kh yoyh jktiwr,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2042",,,,y[kuÅ,29-07-2042,30-07-2042,2025,100m Hurdles,jtr ,
274,dq-f[k-,",FkysfVDl",,,e-vkj{kh cfork flag,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2043",,,,y[kuÅ,29-07-2043,30-07-2043,2025,400m Hurdles,jtr ,
275,dq-f[k-,",FkysfVDl",,,vkj{kh dqekj lkuw fxjh,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2044",,,,y[kuÅ,29-07-2044,30-07-2044,2025,High Jump,dkaL;,
276,dq-f[k-,",FkysfVDl",,,vkj{kh eks- “kkg:[k,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2045",,,,y[kuÅ,29-07-2045,30-07-2045,2025,Long Jump,dkaL;,
277,dq-f[k-,",FkysfVDl",,,vkj{kh vthr,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2046",,,,y[kuÅ,29-07-2046,30-07-2046,2025,Triple Jump,dkaL;,
278,dq-f[k-,",FkysfVDl",,,vkj{kh fj’kHk usgjk,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2047",,,,y[kuÅ,29-07-2047,30-07-2047,2025,Javelin Throw,dkaL;,
279,dq-f[k-,",FkysfVDl",,,vkj{kh jek”kadj ;kno,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2048",,,,y[kuÅ,29-07-2048,30-07-2048,2025,Decathlon,dkaL;,
280,dq-f[k-,",FkysfVDl",,,e-vkj{kh ehuw lkgw,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2049",,,,y[kuÅ,29-07-2049,30-07-2049,2025,400m,dkaL;,
281,dq-f[k-,",FkysfVDl",,,e-vkj{kh jhuk iVsy,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2050",,,,y[kuÅ,29-07-2050,30-07-2050,2025,10000m,dkaL; ,
282,dq-f[k-,",FkysfVDl",,,e-vkj{kh “kSyh /kkek,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2051",,,,y[kuÅ,29-07-2051,30-07-2051,2025,3000m SC,dkaL;,
283,dq-f[k-,",FkysfVDl",,,e-vkj{kh f”kokaxh nwcs,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2052",,,,y[kuÅ,29-07-2052,30-07-2052,2025,Long Jump,dkaL;,
284,dq-f[k-,",FkysfVDl",,,e-vkj{kh f”k[kk iokaj,"28oha m-iz- LVsV lhfu;j ,FkysfVDl pSfEi;uf'ki 2053",,,,y[kuÅ,29-07-2053,30-07-2053,2025,Shot Put,dkaL;,
284,dq-f[k-,",FkysfVDl",,,vkj{kh fj’kHk usgjk,"fnYyh vksiu LVsV ,FkysfVDl pSfEi;uf'ki",,,,fnYyh,05-09-2025,07-09-2025,2025,Javelin Throw,Lo.kZ,
,lkeU;, 'kwfVax,,,m-fu- lUuh dqekj,48;wih LVsV 'kwfVax pSfEi;uf'ki,,,,jktLFkku,30-08-2025,07-09-2025,2025,-,Lo.kZ,
,lkeU;, 'kwfVax,,,ihlh vfer dqekj,48;wih LVsV 'kwfVax pSfEi;uf'ki,,,,jktLFkku,30-08-2025,07-09-2025,2025,-,Lo.kZ,
