vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,
"Ø0
la0",f[kykMh dk izdkj,[ksy fo/kk dk uke,"ih,uvks","ih,uvks",in o uke,izfr;ksfxrk dk uke,LFkku,fnukad,"o""kZ",vk;kstu LFky,dc ls ,dc rd,"o""kZ",Li/kkZ,esMy,fooj.k
35,dq-f[k-,okyhcky,,,fiz;adk] dhfrZ] eSukorh] rfu'kk]  'kSyh] [kq'kcw xqIrk] fu'kh flag] vfxzek f=ikBh] bZ'kk,Lo- Jh ukukyky Hkwrk Le`fr vf[ky Hkkjrh; okyhcky izfr;ksfxrk ¼vkeU=.k izfr;ksfxrk½ esa izfrHkkx gsrq,fHk.M e/; izns'k,07-04-2024 ls 09-04-2024,2024,fHk.M] e-iz-,07-04-2024,09-04-2024,2024,&,Lo.kZ,
36,dq-f[k-,ckfDlax,e- vj{kh,,vkLFkk igok,REC combined national level talent hunt Program 2023-24,gfj;k.kk,30-3-2024 to 15-4-2024,2024,gfj;k.kk,30-03-2024,15-04-2024,2024,,dkaL;,
37,dq-f[k-,ckfDlax,vkj{kh,,jkWdh pkS/kjh,REC combined national level talent hunt Program 2023-24,gfj;k.kk,30-3-2024 to 15-4-2024,2024,gfj;k.kk,30-03-2024,15-04-2024,2024,,jtr,
38,lkeU;,",FkysfVDl",vkj{kh,,vkyksd Fkk:,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,200eh-,jtr,jkT;
39,lkeU;,",FkysfVDl",vkj{kh,,fnfXot; flag,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,1500eh-,jtr,jkT;
40,lkeU;,",FkysfVDl",vkj{kh,,f'kokax rksej,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,1500eh-,dkaL;,jkT;
41,dq-f[k-,",FkysfVDl",vkj{kh,,vthr pkSgku,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,100eh-,jtr,jkT;
42,dq-f[k-,",FkysfVDl",vkj{kh,,jfoUnz ikloku,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,200eh-,dkaL;,jkT;
43,dq-f[k-,",FkysfVDl",vkj{kh,,iadt,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,400eh-,dkaL;,jkT;
44,dq-f[k-,",FkysfVDl",vkj{kh,,fiza'k dqekj,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,5000eh-,Lo.kZ,jkT;
45,dq-f[k-,",FkysfVDl",vkj{kh,,iadt dqekj,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,10000eh-,Lo.kZ,jkT;
46,dq-f[k-,",FkysfVDl",vkj{kh,,lfpu xwtj,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,f=dqV,Lo.kZ,jkT;
47,dq-f[k-,",FkysfVDl",vkj{kh,,fgeka'kq ;kno,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,f=dqV,dkaL;,jkT;
48,dq-f[k-,",FkysfVDl",vkj{kh,,vk;Zu pkS/kjh,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,yEch dwn,jtr,jkT;
49,dq-f[k-,",FkysfVDl",vkj{kh,,f'koe pkS/kjh,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024, 'kkWViqV Fkzks,dkaL;,jkT;
50,dq-f[k-,",FkysfVDl",vkj{kh,,vuqjkx iVsy,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,fMLdl Fkzks,dkaL;,jkT;
51,dq-f[k-,",FkysfVDl",vkj{kh,,"_""kHk usgjk","31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,tsofyu Fkzks,Lo.kZ,jkT;
52,dq-f[k-,",FkysfVDl",vkj{kh,,lfpu,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,tsofyu Fkzks,dkaL;,jkT;
53,lkeU;,",FkysfVDl",vkj{kh,,euksjek,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,800eh-,dkaL;,jkT;
54,lkeU;,",FkysfVDl",vkj{kh,,;ksxs'k,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,200eh- ,dkaL;,jkT;
55,dq-f[k-,",FkysfVDl",e- vj{kh,,fiz;adk fldjokj,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,100eh-,Lo.kZ,jkT;
56,dq-f[k-,",FkysfVDl",e- vj{kh,,fiz;adk fldjokj,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,200eh-,Lo.kZ,jkT;
57,dq-f[k-,",FkysfVDl",e- vj{kh,,ehuw 'kkgw,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,400eh-,Lo.kZ,jkT;
58,dq-f[k-,",FkysfVDl",e- vj{kh,,jksth iVsy,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,20fdeh- okd pky,Lo.kZ,jkT;
59,dq-f[k-,",FkysfVDl",e- vj{kh,,js'kek iVsy,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,20fdeh- okd pky,jtr,jkT;
60,dq-f[k-,",FkysfVDl",e- vj{kh,,f'kYih ;kno,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,5000eh-,jtr,jkT;
