2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k
26,dq-f[k-,Vscy Vsful,&,"म.आ. गुनगुन साहू, म.आ.श्रष्टि जायसवाल ",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन डवल्स,Lo.kZ
27,dq-f[k-,Vscy Vsful,&,"आ. सुब्रत राज वर्मा, म.आ.श्रष्टि जायसवाल",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन मिक्स डबल्स,dkaL;
28,dq-f[k-,cSMfeUVu,&,vkj{kh jktu ;kno,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,vksiu flaxYl iq:’k ,Lo.kZ
29,dq-f[k-,cSMfeUVu,&,e-vkj{kh fleju pkS/kjh,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,efgyk vksiu flaxYl,Lo.kZ
30,dq-f[k-,cSMfeUVu,&,vkj{kh jktu ;kno] e-vkj{kh fleju pkS/kjh,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,vksiu feDl McYl,Lo.kZ
31,lkekU;,cSMfeUVu,&,ihlh /khjsUnz dqekj ik.Ms; o m-fu- mes'kpUnz iVsy,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,osVju izfr;ksfxrk 50$ McYl,jtr 
32,lkekU;,cSMfeUVu,&,ihlh /khjsUnz dqekj ik.Ms;,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,osVju izfr;ksfxrk 50$ iq:’k flaxYl,jtr 
33,dq-f[k-,cSMfeUVu,&,e-vkj{kh fjpk ;kno,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,vksiu flaxYl,dkaL; 
34,dq-f[k-,cSMfeUVu,&,vkj{kh jktu ;kno o vkj{kh dfiy pkS/kjh,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,vksiu McYl iq:’k,dkaL;
35,dq-f[k-,cSMfeUVu,&,e-vkj{kh fjpk ;kno o e-vk- fleju pkS/kjh,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,efgyk vksiu McYl,dkaL;
2025 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2025 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2025 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2025 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2025 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2025 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2025 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2025 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2025 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2025 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2025 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k
"Ø0
la0",f[kykMh dk izdkj,[ksy fo/kk,"ih,uvks",in o uke,izfr;ksfxrk dk uke,LFkku,fnukad,"o""kZ",Li/kkZ,Iknd
1,dq-f[k-,cSMfeUVu,&,"tquSn vUlkjh
fjpk ;kno",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,fefJr ;qxy vksiu,dkaL;
2,dq-f[k-,cSMfeUVu,234240308,"jktu ;kno
fleju pkS/kjh",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,fefJr ;qxy vksiu,Lo.kZ
3,dq-f[k-,cSMfeUVu,232530030,tquSn vUlkjh o vU;,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu McYl,dkaL;
4,dq-f[k-,cSMfeUVu,232510852,fleju pkS/kjh,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,efgyk flxYl,dkaL;
5,dq-f[k-,cSMfeUVu,234240164,fjpk ;kno,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,efgyk flxYl,dkaL;
6,dq-f[k-@lk-,cSMfeUVu,"232510618
232510621","dfiy
fi;w""k",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,"iq:""k ;qxy vksiu",jtr
7,dq-f[k-@lk-,cSMfeUVu,&,"fleju pkS/kjh
fjpk ;kno",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,efgyk ;qxy,jtr
8,lsuk-,cSMfeUVu,&,Jherh pk: fuxe,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,jktif=r efgyk flaxYl,dkaL;
9,dq-f[k-@lk-,Vscy Vsful,&,"jkgqy pkS/kjh
vjfoUn pkS/kjh
d`"".kk flag
lqczrjkt oekZ
fo'kky jkt",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,"iq:""k Vhe pSfEi;uf'ki",Lo.kZ
10,dq-f[k-@lk-,Vscy Vsful,&,"jkgqy pkS/kjh
vjfoUn pkS/kjh",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu McYl,Lo.kZ
11,dq-f[k-,Vscy Vsful,&,"lqczrjkt oekZ
J`f""V tk;loky",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu feDl McYl,Lo.kZ
12,dq-f[k-,Vscy Vsful,&,lqczrjkt oekZ,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu flaxy,jtr
13,lkekU;,Vscy Vsful,&,jkgqy pkS/kjh,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu flaxy,dkaL;
14,dq-f[k-@lk-,Vscy Vsful,&,"vjfoUn pkS/kjh
xquxqu lkgw",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu feDl McYl,jtr
15,lkekU;,Vscy Vsful,&,"egs'kpUnz ik.Ms;
,pvks- vpZuk",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,osVuZl 40 Iyl feDl McYl,dkaL;
16,lkekU;,Vscy Vsful,&,"ftrsUnz flag
e/kq d';i",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,osVuZl 50 Iyl feDl McYl,jtr
17,lkekU;,Vscy Vsful,&,"egs'kpUnz ik.Ms;
'khyk ;kn;",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,osVuZl 50 Iyl feDl McYl,dkaL;
18,dq-f[k-@lk-,Vscy Vsful,&,"xquxqu lkgw
jkuh flag
J`f""V tk;loky
fiz;adk vjksMk
jkseh",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,Vhe pSfEi;uf'ki efgyk,Lo.kZ
19,dq-f[k-,Vscy Vsful,&,"l`f""V tk;loky",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu flaxy,Lo.kZ
20,dq-f[k-,Vscy Vsful,&,"xquxqu lkgw
J`f""V tk;loky",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu McYl,Lo.kZ
21,dq-f[k-,Vscy Vsful,&,xquxqu lkgw,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu flaxy,jtr
22,lkekU;,Vscy Vsful,&,"jkuh flag
jkseh",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu McYl,jtr
23,lkekU;,Vscy Vsful,&,jkseh,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu flaxy,dkaL;
24,lkekU;,Vscy Vsful,&,",pvks vpZuk",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,oSVuZl 40$ flaxy,dkaL;
25,lkekU;,Vscy Vsful,&,e/kq d';i,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,oSVuZl 50$ flaxy,jtr
26,lkekU;,Vscy Vsful,&,lfjrk ukxoa'kh,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,oSVuZl 50$ flaxy,dkaL;
27,lkekU;,Vscy Vsful,&, 'khyk ;kno,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,oSVuZl 50$ flaxy,dkaL;
28,lkekU;,Vscy Vsful,&,e/kq d';Ik o vU;,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,oSVuZl 50$ McYl,Lo.kZ
29,lkekU;,Vscy Vsful,&,lfjrk ukxoa'kh o 'khyk ;kno,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,oSVuZl 50$ McYl,jtr
30,lsuk-,Vscy Vsful,&,"Jherh pk: fuxe ¼vkbZih,l½",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu flaxy efgyk oxZ,dkaL;
31,lkekU;,Vscy Vsful,&,"Jherh pk: fuxe ¼vkbZih,l½
Dysp Jh izse dqekj Fkkik",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu feDl McYl,dkaL;
