vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k
46,lkekU;,कुश्ती क्लस्टर,&,आ. राजीव,71वीं अखिल भारतीय पुलिस कुश्ती क्लस्टर प्रतियोगिता-2022,पूणे महाराष्ट्र,14.11.22 से 20.11.22,2022,आर्म रेसलिंग ( 60KG ),स्वर्ण
47,lkekU;,कुश्ती क्लस्टर,&,आ.अनुज भाटी,71वीं अखिल भारतीय पुलिस कुश्ती क्लस्टर प्रतियोगिता-2022,पूणे महाराष्ट्र,14.11.22 से 20.11.22,2022,आर्म रेसलिंग ( 70KG ),कांस्य
48,lkekU;,कुश्ती क्लस्टर,&,आ.विकास नागर,71वीं अखिल भारतीय पुलिस कुश्ती क्लस्टर प्रतियोगिता-2022,पूणे महाराष्ट्र,14.11.22 से 20.11.22,2022,आर्म रेसलिंग ( 110KG ),रजत
49,lkekU;,कुश्ती क्लस्टर,&,म.आ.दीपा चौधरी,71वीं अखिल भारतीय पुलिस कुश्ती क्लस्टर प्रतियोगिता-2022,पूणे महाराष्ट्र,14.11.22 से 20.11.22,2022,आर्म रेसलिंग ( 80KG ),स्वर्ण
50,lkekU;,कुश्ती क्लस्टर,&,आ.राघवेन्द्र सिंह,71वीं अखिल भारतीय पुलिस कुश्ती क्लस्टर प्रतियोगिता-2022,पूणे महाराष्ट्र,14.11.22 से 20.11.22,2022,भारोत्तोलन ( 55KG ),कांस्य
51,lkekU;,कुश्ती क्लस्टर,&,आ.बृजेश कुमार,71वीं अखिल भारतीय पुलिस कुश्ती क्लस्टर प्रतियोगिता-2022,पूणे महाराष्ट्र,14.11.22 से 20.11.22,2022,भारोत्तोलन ( 81KG ),स्वर्ण
52,lkekU;,कुश्ती क्लस्टर,&,म.आ.सोनम शर्मा,71वीं अखिल भारतीय पुलिस कुश्ती क्लस्टर प्रतियोगिता-2022,पूणे महाराष्ट्र,14.11.22 से 20.11.22,2022,भारोत्तोलन ( 45KG ),कांस्य
53,lkekU;,कुश्ती क्लस्टर,&,आ. कतर भाटी,71वीं अखिल भारतीय पुलिस कुश्ती क्लस्टर प्रतियोगिता-2022,पूणे महाराष्ट्र,14.11.22 से 20.11.22,2022,पॉवर लिफ्टिंग ( 66KG ),रजत
54,lkekU;,कुश्ती क्लस्टर,&,आ.शुभम मलिक,71वीं अखिल भारतीय पुलिस कुश्ती क्लस्टर प्रतियोगिता-2022,पूणे महाराष्ट्र,14.11.22 से 20.11.22,2022,पॉवर लिफ्टिंग ( 74KG ),रजत
55,lkekU;,कुश्ती क्लस्टर,&,आ.विशाल चौधरी,71वीं अखिल भारतीय पुलिस कुश्ती क्लस्टर प्रतियोगिता-2022,पूणे महाराष्ट्र,14.11.22 से 20.11.22,2022,पॉवर लिफ्टिंग ( 83KG ),स्वर्ण
